% time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (unitless)
1999047,71.15,2.5587166874174727E-6,0.37520378828048706
1999047,71.25,2.7526868962013396E-6,0.3168533146381378
1999047,71.35,3.112823151241173E-6,0.3274344801902771
1999047,71.45,2.7588760076469043E-6,0.3823414742946625
1999047,71.55,2.5469541924394434E-6,0.4829702377319336
1999047,71.65,2.5379722501384094E-6,0.5456160306930542
1999047,71.75,3.054245325984084E-6,0.14770211279392242
1999047,71.85,1.5441908544744365E-5,0.031172113493084908
1999047,71.95,4.206076937407488E-6,0.10626457631587982
1999047,72.05,2.757485617621569E-6,0.4804210662841797
1999047,72.15,3.439281272221706E-6,0.3005272448062897
1999047,72.25,2.804302084769006E-6,0.46891629695892334
1999047,72.35,2.802929884637706E-6,0.47599002718925476
1999047,72.45,2.9977693429827923E-6,0.43052640557289124
1999047,72.55,3.2791772355267312E-6,0.40149256587028503
1999047,72.65,3.1808904168428853E-6,0.4214935302734375
1999047,72.75,2.982641035487177E-6,0.4236699342727661
1999047,72.85,3.5919294987252215E-6,0.3081844449043274
1999047,72.95,3.6158512557449285E-6,0.3347491919994354
1999047,73.05,3.2916270811256254E-6,0.3926995098590851
1999047,73.15,3.28289070239407E-6,0.4234190881252289
1999047,73.25,3.403985147087951E-6,0.39183783531188965
1999047,73.35,3.3105025067925453E-6,0.39058297872543335
1999047,73.45,3.4255406262673205E-6,0.3941219449043274
1999047,73.55,3.828591161436634E-6,0.290039598941803
1999047,73.65,3.7651084312528837E-6,0.31319838762283325
1999047,73.75,3.616445610532537E-6,0.3562236726284027
1999047,73.85,3.6903004456689814E-6,0.29725542664527893
1999047,73.95,3.843117610813351E-6,0.26249179244041443
1999047,74.05,3.800306330958847E-6,0.29108926653862
1999047,74.15,3.816596745309653E-6,0.31741252541542053
1999047,74.25,3.826753072644351E-6,0.317795068025589
1999047,74.35,4.274140792404069E-6,0.2296634018421173
1999047,74.45,4.762335265695583E-6,0.1914600282907486
1999047,74.55,4.699067631008802E-6,0.23559632897377014
1999047,74.65,4.306355549488217E-6,0.22994031012058258
1999047,74.75,4.5499555199057795E-6,0.22565536201000214
1999047,74.85,6.3708171182952356E-6,0.1550620049238205
1999047,74.95,7.085131983330939E-6,0.13064123690128326
1999047,75.05,9.312218935519923E-6,0.11734882742166519
1999047,75.15,4.208438895147992E-6,0.2442885786294937
1999047,75.25,4.011278178950306E-6,0.23231127858161926
1999047,75.35,5.0437552090443205E-6,0.19507049024105072
1999047,75.45,4.616279966285219E-6,0.22079943120479584
1999047,75.55,4.199976046947995E-6,0.254810631275177
1999047,75.65,4.198363512841752E-6,0.2307446151971817
1999047,75.75,4.486861143959686E-6,0.22329241037368774
1999047,75.85,1.101643283618614E-5,0.069063201546669
1999047,75.95,1.3816197679261677E-5,0.052746426314115524
1999047,76.05,2.5986311811720952E-5,0.03426853567361832
1999047,76.15,1.086514657799853E-5,0.06450241059064865
1999047,76.25,1.1962082680838648E-5,0.06805463880300522
1999047,76.35,1.1728820027201436E-5,0.08942800015211105
1999047,76.45,3.6483605072135106E-5,0.08177307993173599
1999047,76.55,6.732798647135496E-5,0.025512877851724625
1999047,76.65,9.648183549870737E-6,0.15225784480571747
1999047,76.75,8.78140599525068E-6,0.17666730284690857
1999047,76.85,8.672746844240464E-6,0.18504329025745392
1999047,76.95,2.3023303583613597E-5,0.10714889317750931
1999047,77.05,1.1144144809804857E-4,0.055329255759716034
1999047,77.15,1.5931460438878275E-5,0.07516498118638992
1999047,77.25,1.1204226211702917E-5,0.15124651789665222
1999047,77.35,7.705910320510156E-6,0.20506605505943298
1999047,77.45,9.111721738008782E-6,0.17244504392147064
1999047,77.55,9.666900950833224E-6,0.16317109763622284
1999047,77.65,1.0666427442629356E-5,0.15116073191165924
1999047,77.75,8.443757906206883E-6,0.1900312602519989
1999047,77.85,8.376819096156396E-6,0.19223825633525848
1999047,77.95,2.0393583326949738E-5,0.1003616526722908
1999047,78.05,6.267073331400752E-5,0.05211735516786575
1999047,78.15,1.1671173524518963E-5,0.12070325016975403
1999047,78.25,1.098777647712268E-5,0.16499820351600647
1999047,78.35,9.087782927963417E-6,0.18294480443000793
1999047,78.45,8.762385732552502E-6,0.19007521867752075
1999047,78.55,1.2012326806143392E-5,0.12631992995738983
1999047,78.65,4.156432260060683E-5,0.03302537277340889
